mode,system,env,tpr,fpr,f1,volumetric_detected,flood_detected,syn_detected,lowslow_detected,volumetric_total,flood_total,syn_total,lowslow_total
standard,A_current,0,0.9639261744966443,0.0017730086860099797,0.921226698737222,0,3,2,0,0,3,2,0
standard,A_current,1,0.7255237280889268,0.007879089657596438,0.7883855981416956,1,1,1,2,1,1,1,3
standard,A_current,2,0.8119122257053292,0.0013261472023394596,0.7896341463414634,2,1,1,1,2,1,1,1
standard,A_current,3,0.605,0.0025198681915099825,0.5694117647058823,1,1,0,1,2,1,0,1
standard,A_current,4,0.8972727272727272,0.004257095158597663,0.8076923076923077,1,0,2,1,1,0,2,1
standard,A_current,5,0.9146608315098468,0.0012844715178171769,0.8884165781083952,0,1,1,2,0,1,1,2
standard,A_current,6,0.9564393939393939,0.0052134849983514675,0.9039379474940333,1,2,1,1,1,2,1,1
standard,A_current,7,0.9601244343891403,0.0031060021229373735,0.9118990061778136,1,2,2,0,1,2,2,0
standard,A_current,8,0.9383499546690843,0.003902769362369462,0.9210233592880979,0,0,2,1,0,0,2,2
standard,A_current,9,0.9294217687074829,0.007029280589490014,0.8542399374755765,4,1,0,0,4,1,0,0
standard,A_current,10,0.9699287510477788,0.005563207506563939,0.9334005545752458,3,2,1,0,3,2,1,0
standard,A_current,11,0.8214966488347784,0.002503189427837103,0.8819646157908635,1,1,1,1,2,1,1,2
standard,A_current,12,0.8821705426356589,0.0038790734197094623,0.7789185489390827,3,0,1,0,3,0,1,0
standard,A_current,13,0.9733727810650887,0.004045109095366511,0.94,1,1,1,2,1,1,1,2
standard,A_current,14,0.741272221032341,0.008021422338047363,0.7865015339166005,0,1,2,1,0,1,2,1
standard,A_current,15,0.8706240487062404,0.0038314176245210726,0.8218390804597702,1,0,1,2,1,0,1,2
standard,A_current,16,0.9537741369221767,0.0042036208461379235,0.9048015542603386,1,1,2,2,1,1,2,2
standard,A_current,17,0.39075249320036265,0.00022908871286853779,0.5500957243139758,1,1,0,2,2,1,0,2
standard,A_current,18,0.9317073170731708,0.00462091391408523,0.9030732860520094,1,2,1,1,1,2,1,1
standard,A_current,19,0.9378746594005449,0.0014741362789852045,0.8926348547717843,1,3,0,1,1,3,0,1
standard,A_current,20,0.9653742483931164,0.004131295469164771,0.9372924006039256,2,1,0,2,2,1,0,2
standard,A_current,21,0.9519000797236248,0.005204807413333803,0.9026080383016252,1,1,1,1,1,1,1,1
standard,A_current,22,0.9545956559087004,0.002337796760396652,0.9532504135775994,1,2,1,2,1,2,1,2
standard,A_current,23,0.9619366626065774,0.007314506822347431,0.9191155077102123,1,2,2,0,1,2,2,0
standard,A_current,24,0.8255844155844155,0.005718359863807002,0.8565653843562622,0,0,5,0,0,0,5,0
standard,A_current,25,0.9613593660648639,0.0028513223007169573,0.9502200331058984,2,0,2,1,3,0,2,1
standard,A_current,26,0.952788231269244,0.007234669221200726,0.8963630511747667,1,4,0,0,1,4,0,0
standard,A_current,27,0.9393461992910594,0.002289559953514995,0.9434335443037974,1,1,3,0,1,1,3,0
