mode,system,env,tpr,fpr,f1,volumetric_detected,flood_detected,syn_detected,lowslow_detected,volumetric_total,flood_total,syn_total,lowslow_total
strict,A_current,0,0.6857142857142857,0.048662811937064614,0.03564356435643564,0,2,1,0,0,2,1,0
strict,A_current,1,0.7075038284839203,0.02872883360935546,0.4702290076335878,0,1,0,2,2,1,0,3
strict,A_current,2,0.022727272727272728,0.015045775176346992,0.011194029850746268,1,0,0,0,1,0,0,0
strict,A_current,3,0.6213740458015267,0.01201945762304716,0.3304912708079578,0,1,2,0,0,1,2,1
strict,A_current,4,0.34067357512953367,0.03437253354380426,0.2759706190975865,3,0,1,0,3,0,1,1
strict,A_current,5,0.8607924921793535,0.04548434682838879,0.5204918032786885,1,0,1,1,1,0,1,2
strict,A_current,6,0.9361422947951596,0.018793568601394195,0.7754362659259707,1,0,2,1,1,0,2,1
strict,A_current,7,0.7934131736526946,0.031875120447099635,0.23524189968930315,0,1,0,1,0,1,0,2
strict,A_current,8,0.7071428571428572,0.01886516999740462,0.37376120811703634,1,0,0,1,1,0,0,1
strict,A_current,9,0.5265438786565547,0.01611119543769109,0.45167286245353155,1,1,2,0,1,1,2,2
strict,A_current,10,0.9852489244007375,0.025625519264354305,0.4129314786192684,1,1,1,0,1,1,1,0
strict,A_current,11,0.49056603773584906,0.039198036006546644,0.26163522012578616,0,1,1,0,1,2,1,1
strict,A_current,12,0.9433962264150944,0.039200572592633376,0.12269938650306748,1,0,0,0,1,0,0,0
strict,A_current,13,0.854149203688181,0.016449035746180396,0.7043373077587696,2,0,1,2,2,1,1,2
strict,A_current,14,0.9387755102040817,0.03231244731666198,0.6607734806629834,1,2,2,0,1,2,2,0
strict,A_current,15,0.758985200845666,0.03516327754456741,0.48612051455653355,1,2,0,1,1,2,0,1
strict,A_current,16,0.9191616766467066,0.019342020686028166,0.4712202609363008,0,1,1,0,0,1,1,0
strict,A_current,17,0.711340206185567,0.04153486908566981,0.05160807778608826,1,0,0,1,1,0,0,1
strict,A_current,18,0.9028960817717206,0.03954864882839345,0.36539124439848325,1,1,0,0,1,1,0,0
